SampleID;Temp;COD_in;COD_eff;COD_removal;TAN_in;TAN_eff;TAN_removal;HRT;;;
OD92OT92.39;23.20;NA;NA;NA;NA;NA;NA;2;;;
OD92OT92.42;23.20;NA;NA;NA;NA;NA;NA;2;;;
OD92OT92.67;23.20;NA;NA;NA;NA;NA;NA;2;;;
OD94OT94.42;NA;NA;NA;NA;NA;NA;NA;2;;;
OD94OT94.43;NA;NA;NA;NA;NA;NA;NA;2;;;
OD95OT95.38;23.50;NA;NA;NA;NA;NA;NA;2;;;
OD95OT95.42;23.50;NA;NA;NA;NA;NA;NA;1;;;
OD95OT95.6;23.60;NA;NA;NA;NA;NA;NA;1;;;
OD95OT95.71;23.60;NA;NA;NA;NA;NA;NA;1;;;
OD96OT96.32;24.20;NA;NA;NA;NA;NA;NA;1;;;
OD96OT96.5;23.80;NA;NA;NA;NA;NA;NA;2;;;
OD96OT96.67;23.90;NA;NA;NA;NA;NA;NA;2;;;
OD97OT97.33;24.40;NA;NA;NA;NA;NA;NA;2;;;
OD97OT97.5;24.60;NA;NA;NA;NA;NA;NA;1;;;
OD97OT97.67;24.90;NA;NA;NA;NA;NA;NA;1;;;
OD98OT98.39;25.40;NA;NA;NA;NA;NA;NA;1;;;
OD98OT98.4;25.40;NA;NA;NA;NA;NA;NA;1;;;
OD98OT98.69;25.50;NA;NA;NA;NA;NA;NA;1;;;
OD99OT99.31;26.00;NA;NA;NA;NA;NA;NA;1;;;
OD99OT99.46;25.50;NA;NA;NA;NA;NA;NA;1;;;
OD99OT99.73;25.50;NA;NA;NA;NA;NA;NA;1;;;
OD100OT100.38;NA;NA;NA;NA;NA;NA;NA;1;;;
OD100OT100.38;NA;NA;NA;NA;NA;NA;NA;1;;;
OD101OT101.38;NA;NA;NA;NA;NA;NA;NA;1;;;
OD101OT101.38;NA;NA;NA;NA;NA;NA;NA;1;;;
OD102OT102.33;25.80;2320.00;285.50;0.88;113.34;89.61;0.21;1;;;
